,Fecha,Rango_edad,Casos,Hospitalizados,Ingresos_uci,Fallecidos,Casos nuevos14,Casos nuevos7,Casos nuevos,Población,IA 7 días,IA 14 días
247,2020-03-27,40 a 49,166,63,5,1,157.0,129.0,18,97769,131.9436631243032,160.58259775593493
248,2020-03-27,50 a 59,180,70,2,0,177.0,142.0,15,89964,157.84091414343516,196.7453648125917
249,2020-03-27,60 a 69,159,94,16,3,153.0,110.0,14,77345,142.21992371840454,197.8149848083263
250,2020-03-27,70 a 79,141,102,11,8,141.0,113.0,18,53066,212.94237364791013,265.706855613764
251,2020-03-27,Mayor de 80,155,80,0,16,154.0,130.0,23,41042,316.7486964572877,375.22537888017155
252,2020-03-28,0 a 9,1,0,0,0,1.0,0.0,0,46913,0.0,2.1316053119604375
253,2020-03-28,10 a 19,7,3,0,0,5.0,3.0,0,55828,5.37364763201261,8.956079386687684
254,2020-03-28,20 a 29,52,15,2,0,47.0,33.0,4,50505,65.34006534006534,93.06009306009305
255,2020-03-28,30 a 39,100,23,4,0,88.0,63.0,4,70473,89.39593887020561,124.87051778695387
256,2020-03-28,40 a 49,179,68,7,1,169.0,129.0,13,97769,131.9436631243032,172.8564268837771
257,2020-03-28,50 a 59,196,79,3,0,191.0,147.0,16,89964,163.39869281045753,212.30714508025432
258,2020-03-28,60 a 69,173,104,16,3,161.0,110.0,14,77345,142.21992371840454,208.15825198784665
259,2020-03-28,70 a 79,156,112,12,10,155.0,112.0,15,53066,211.05792786341536,292.0890965966909
260,2020-03-28,Mayor de 80,174,86,0,17,172.0,145.0,19,41042,353.29662297159007,419.08289069733445
261,2020-03-29,0 a 9,1,0,0,0,1.0,0.0,0,46913,0.0,2.1316053119604375
262,2020-03-29,10 a 19,7,3,0,0,4.0,2.0,0,55828,3.5824317546750737,7.164863509350147
263,2020-03-29,20 a 29,57,16,2,0,50.0,35.0,5,50505,69.3000693000693,99.000099000099
264,2020-03-29,30 a 39,112,25,4,0,99.0,68.0,12,70473,96.49085465355526,140.4793325103231
265,2020-03-29,40 a 49,195,69,8,1,184.0,131.0,16,97769,133.9893013122769,188.19871329357977
266,2020-03-29,50 a 59,211,83,4,0,206.0,151.0,15,89964,167.8449157440754,228.98048108132141
267,2020-03-29,60 a 69,181,112,16,3,167.0,110.0,8,77345,142.21992371840454,215.9157023724869
268,2020-03-29,70 a 79,170,124,13,12,167.0,113.0,14,53066,212.94237364791013,314.7024460106283
269,2020-03-29,Mayor de 80,191,96,0,17,189.0,147.0,17,41042,358.1696798401637,460.5038740802105
270,2020-03-30,0 a 9,2,1,1,0,2.0,1.0,1,46913,2.1316053119604375,4.263210623920875
271,2020-03-30,10 a 19,7,3,0,0,4.0,2.0,0,55828,3.5824317546750737,7.164863509350147
272,2020-03-30,20 a 29,58,16,2,0,51.0,34.0,1,50505,67.32006732006731,100.98010098010099
273,2020-03-30,30 a 39,119,27,4,0,106.0,68.0,7,70473,96.49085465355526,150.4122146070126
274,2020-03-30,40 a 49,205,77,8,1,194.0,131.0,10,97769,133.9893013122769,198.42690423344823
275,2020-03-30,50 a 59,218,88,4,0,213.0,142.0,7,89964,157.84091414343516,236.7613712151527
276,2020-03-30,60 a 69,188,117,17,4,173.0,107.0,7,77345,138.3411985260844,223.67315275712716
277,2020-03-30,70 a 79,177,127,15,15,173.0,112.0,7,53066,211.05792786341536,326.00912071759694
278,2020-03-30,Mayor de 80,209,106,0,28,206.0,142.0,18,41042,345.98703766872956,501.9248574630866
279,2020-03-31,0 a 9,2,1,1,0,2.0,1.0,0,46913,2.1316053119604375,4.263210623920875
280,2020-03-31,10 a 19,7,3,0,0,4.0,0.0,0,55828,0.0,7.164863509350147
281,2020-03-31,20 a 29,60,16,2,0,53.0,34.0,2,50505,67.32006732006731,104.94010494010493
282,2020-03-31,30 a 39,122,28,4,0,108.0,61.0,3,70473,86.55797255686575,153.25018092035248
283,2020-03-31,40 a 49,213,80,8,1,201.0,117.0,8,97769,119.66983399646105,205.58663789135616
284,2020-03-31,50 a 59,228,94,6,1,221.0,135.0,10,89964,150.06002400960384,245.65381708238854
285,2020-03-31,60 a 69,196,122,18,4,173.0,101.0,8,77345,130.58374814144418,223.67315275712716
286,2020-03-31,70 a 79,185,133,16,18,177.0,107.0,8,53066,201.63569894094147,333.5469038555761
287,2020-03-31,Mayor de 80,227,112,0,35,223.0,152.0,18,41042,370.35232201159783,543.3458408459627
288,2020-04-01,0 a 9,3,2,1,0,3.0,2.0,1,46913,4.263210623920875,6.394815935881312
289,2020-04-01,10 a 19,7,3,0,0,4.0,0.0,0,55828,0.0,7.164863509350147
290,2020-04-01,20 a 29,63,16,2,0,56.0,27.0,3,50505,53.46005346005346,110.88011088011088
291,2020-04-01,30 a 39,126,28,4,0,110.0,48.0,4,70473,68.11119152015665,156.08814723369233
292,2020-04-01,40 a 49,219,83,9,1,202.0,97.0,6,97769,99.21345211672411,206.60945698534303
293,2020-04-01,50 a 59,239,100,6,1,222.0,97.0,11,89964,107.82090614023386,246.765372815793
294,2020-04-01,60 a 69,201,126,19,4,171.0,81.0,5,77345,104.72558019264335,221.08733596224707
295,2020-04-01,70 a 79,190,142,16,19,176.0,90.0,5,53066,169.60012060453022,331.6624580710813
296,2020-04-01,Mayor de 80,230,118,0,38,220.0,124.0,3,41042,302.1295258515667,536.0362555431022
297,2020-04-02,0 a 9,3,2,1,0,2.0,2.0,0,46913,4.263210623920875,4.263210623920875
298,2020-04-02,10 a 19,7,3,0,0,3.0,0.0,0,55828,0.0,5.37364763201261
299,2020-04-02,20 a 29,65,16,2,0,54.0,19.0,2,50505,37.62003762003762,106.92010692010692
300,2020-04-02,30 a 39,127,28,4,0,106.0,39.0,1,70473,55.34034311012728,150.4122146070126
301,2020-04-02,40 a 49,227,87,10,1,199.0,79.0,8,97769,80.80270842496088,203.54099970338245
302,2020-04-02,50 a 59,254,109,6,1,227.0,89.0,15,89964,98.9284602729981,252.32315148281535
303,2020-04-02,60 a 69,211,131,21,5,173.0,66.0,10,77345,85.33195423104273,223.67315275712716
304,2020-04-02,70 a 79,198,148,16,20,177.0,75.0,8,53066,141.33343383710852,333.5469038555761
305,2020-04-02,Mayor de 80,259,127,0,44,241.0,127.0,29,41042,309.43911115442717,587.2033526631255
306,2020-04-03,0 a 9,3,2,1,0,2.0,2.0,0,46913,4.263210623920875,4.263210623920875
307,2020-04-03,10 a 19,7,3,0,0,3.0,0.0,0,55828,0.0,5.37364763201261
308,2020-04-03,20 a 29,71,17,2,0,54.0,23.0,6,50505,45.54004554004554,106.92010692010692
309,2020-04-03,30 a 39,131,29,4,0,102.0,35.0,4,70473,49.66441048344756,144.7362819803329
310,2020-04-03,40 a 49,236,89,10,1,199.0,70.0,9,97769,71.59733657907925,203.54099970338245
311,2020-04-03,50 a 59,265,112,6,1,227.0,85.0,11,89964,94.4822373393802,252.32315148281535
312,2020-04-03,60 a 69,219,135,22,5,170.0,60.0,8,77345,77.57450384640248,219.79442756480702
313,2020-04-03,70 a 79,209,154,17,20,181.0,68.0,11,53066,128.14231334564505,341.0846869935552
314,2020-04-03,Mayor de 80,279,135,0,46,254.0,124.0,20,41042,302.1295258515667,618.8782223088543
315,2020-04-04,0 a 9,3,2,1,0,2.0,2.0,0,46913,4.263210623920875,4.263210623920875
316,2020-04-04,10 a 19,7,3,0,0,3.0,0.0,0,55828,0.0,5.37364763201261
317,2020-04-04,20 a 29,72,17,2,0,53.0,20.0,1,50505,39.6000396000396,104.94010494010493
318,2020-04-04,30 a 39,136,29,4,0,99.0,36.0,5,70473,51.08339364011749,140.4793325103231
319,2020-04-04,40 a 49,244,90,10,1,194.0,65.0,8,97769,66.48324110914503,198.42690423344823
